Timestamp,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ
1.673125,9.170000,0.172373,3.710000,-0.533065,2.359002,1.561540
1.684236,9.170000,0.172373,3.710000,-0.472447,2.378149,1.582564
1.695347,9.170000,0.172373,3.710000,-0.411895,2.394591,1.605161
1.706458,9.170000,0.172373,3.710000,-0.351342,2.411033,1.627759
1.717569,9.170000,0.172373,3.710000,-0.290790,2.427475,1.650356
1.728680,9.170000,0.172373,3.710000,-0.230238,2.443917,1.672954
1.739792,9.170000,0.172373,3.710000,-0.169367,2.454232,1.696746
1.750903,9.170000,0.172373,3.710000,-0.108362,2.461997,1.721037
1.762014,9.170000,0.172373,3.710000,-0.047356,2.469761,1.745327
1.773125,9.170000,0.172373,3.710000,0.013649,2.477525,1.769617
1.784236,9.170000,0.172373,3.710000,0.074686,2.485010,1.793938
1.795347,9.170000,0.172373,3.710000,0.136942,2.482019,1.819417
1.806458,9.170000,0.172373,3.710000,0.199197,2.479028,1.844895
1.817570,9.170000,0.172373,3.710000,0.261453,2.476037,1.870373
1.828681,9.170000,0.172373,3.710000,0.323708,2.473046,1.895852
1.839792,9.170000,0.172373,3.710000,0.384924,2.466395,1.921836
1.850903,9.170000,0.172373,3.710000,0.444707,2.454701,1.948518
1.862014,9.170000,0.172373,3.710000,0.504491,2.443007,1.975199
1.873125,9.170000,0.172373,3.710000,0.564274,2.431313,2.001881
1.884236,9.170000,0.172373,3.710000,0.624057,2.419619,2.028563
1.895348,9.170000,0.172373,3.710000,0.670025,2.408356,2.050331
1.906459,9.170000,0.172373,3.710000,0.710081,2.397277,2.069996
1.917570,9.170000,0.172373,3.710000,0.750136,2.386198,2.089660
1.928681,9.170000,0.172373,3.710000,0.790192,2.375119,2.109325
1.939792,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
1.950903,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
1.962014,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
1.973126,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
1.984237,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
1.995348,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
2.006459,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
2.017570,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
2.028681,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
2.039792,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
2.050903,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
2.062014,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
2.073125,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
2.084236,9.170000,0.172373,3.710000,0.827815,2.364713,2.127796
2.095347,9.170000,0.172373,3.710000,0.826083,2.365458,2.131607
2.106458,9.170000,0.172373,3.710000,0.815022,2.370211,2.155939
2.117569,9.170000,0.172373,3.710000,0.803962,2.374965,2.180271
2.128680,9.170000,0.172373,3.710000,0.792901,2.379719,2.204604
2.139791,9.170000,0.172373,3.710000,0.781840,2.384472,2.228936
2.150902,9.170000,0.172373,3.710000,0.763070,2.391828,2.270304
2.162013,9.170000,0.172373,3.710000,0.736076,2.401958,2.329843
2.173124,9.170000,0.172373,3.710000,0.709083,2.412089,2.389381
2.184235,9.170000,0.172373,3.710000,0.682089,2.422219,2.448920
2.195346,9.170000,0.172373,3.710000,0.655095,2.432349,2.508459
2.206457,9.170000,0.172373,3.710000,0.627642,2.437192,2.569050
2.217568,9.170000,0.172373,3.710000,0.600161,2.441703,2.629707
2.228679,9.170000,0.172373,3.710000,0.572680,2.446213,2.690364
2.239790,9.170000,0.172373,3.710000,0.545198,2.450724,2.751021
2.250901,9.170000,0.172373,3.710000,0.518021,2.449958,2.811658
2.262012,9.170000,0.172373,3.710000,0.491230,2.442487,2.872269
2.273124,9.170000,0.172373,3.710000,0.464439,2.435017,2.932880
2.284235,9.170000,0.172373,3.710000,0.437648,2.427546,2.993490
2.295346,9.170000,0.172373,3.710000,0.410856,2.420075,3.054101
2.306457,9.170000,0.172373,3.710000,0.386295,2.402494,3.109316
2.317568,9.170000,0.172373,3.710000,0.362066,2.383407,3.163728
2.328679,9.170000,0.172373,3.710000,0.337837,2.364321,3.218140
2.339790,9.170000,0.172373,3.710000,0.313608,2.345235,3.272552
2.350901,9.170000,0.172373,3.710000,0.289379,2.326149,3.326963
2.362012,9.170000,0.172373,3.710000,0.260906,2.296220,3.383998
2.373123,9.170000,0.172373,3.710000,0.232130,2.265514,3.441221
2.384234,9.170000,0.172373,3.710000,0.203354,2.234808,3.498443
2.395345,9.170000,0.172373,3.710000,0.174577,2.204103,3.555666
2.406456,9.170000,0.172373,3.710000,0.153776,2.181617,3.596754
2.417567,9.170000,0.172373,3.710000,0.146888,2.173471,3.609690
2.428678,9.170000,0.172373,3.710000,0.140001,2.165325,3.622626
2.439789,9.170000,0.172373,3.710000,0.133113,2.157179,3.635562
2.450900,9.170000,0.172373,3.710000,0.126226,2.149033,3.648498
2.462011,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.473122,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.484233,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.495344,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.506455,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.517566,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.528677,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.539788,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.550899,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.562010,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.573121,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.584232,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.595343,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.606454,9.170000,0.172373,3.710000,0.124290,2.146744,3.652133
2.617565,9.170000,0.172373,3.710000,0.113256,2.172212,3.615475
2.628676,9.170000,0.172373,3.710000,0.099836,2.203188,3.570888
2.639787,9.170000,0.172373,3.710000,0.086416,2.234164,3.526301
2.650898,9.170000,0.172373,3.710000,0.072996,2.265141,3.481714
2.662009,9.170000,0.172373,3.710000,0.059159,2.294098,3.434383
2.673120,9.170000,0.172373,3.710000,0.043788,2.315602,3.376922
2.684231,9.170000,0.172373,3.710000,0.028416,2.337105,3.319461
2.695342,9.170000,0.172373,3.710000,0.013044,2.358609,3.262000
2.706453,9.170000,0.172373,3.710000,-0.002328,2.380113,3.204539
2.717564,9.170000,0.172373,3.710000,-0.013936,2.378440,3.159272
2.728675,9.170000,0.172373,3.710000,-0.023156,2.362061,3.121744
2.739786,9.170000,0.172373,3.710000,-0.032377,2.345682,3.084216
2.750897,9.170000,0.172373,3.710000,-0.041597,2.329303,3.046687
2.762008,9.170000,0.172373,3.710000,-0.050695,2.313026,3.009644
2.773119,9.170000,0.172373,3.710000,-0.053013,2.302443,2.999462
2.784230,9.170000,0.172373,3.710000,-0.055331,2.291859,2.989281
2.795341,9.170000,0.172373,3.710000,-0.057648,2.281276,2.979099
2.806453,9.170000,0.172373,3.710000,-0.059966,2.270692,2.968917
2.817564,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.828675,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.839786,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.850897,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.862008,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.873119,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.884230,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.895341,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.906452,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.917563,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.928674,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.939785,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.950896,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.962007,9.170000,0.172373,3.710000,-0.061107,2.265483,2.963906
2.973118,9.170000,0.172373,3.710000,-0.036928,2.273302,2.950256
2.984229,9.170000,0.172373,3.710000,-0.009708,2.282105,2.934889
2.995340,9.170000,0.172373,3.710000,0.017512,2.290908,2.919522
3.006451,9.170000,0.172373,3.710000,0.044732,2.299711,2.904155
3.017562,9.170000,0.172373,3.710000,0.076690,2.309007,2.886101
3.028673,9.170000,0.172373,3.710000,0.132189,2.320754,2.854698
3.039784,9.170000,0.172373,3.710000,0.187687,2.332500,2.823296
3.050895,9.170000,0.172373,3.710000,0.243185,2.344247,2.791893
3.062006,9.170000,0.172373,3.710000,0.298683,2.355994,2.760491
3.073117,9.170000,0.172373,3.710000,0.350465,2.350575,2.730817
3.084228,9.170000,0.172373,3.710000,0.399876,2.334206,2.702246
3.095339,9.170000,0.172373,3.710000,0.449287,2.317837,2.673676
3.106450,9.170000,0.172373,3.710000,0.498697,2.301468,2.645105
3.117561,9.170000,0.172373,3.710000,0.548108,2.285098,2.616534
3.128672,9.170000,0.172373,3.710000,0.583100,2.255314,2.596454
3.139783,9.170000,0.172373,3.710000,0.616496,2.224045,2.577313
3.150894,9.170000,0.172373,3.710000,0.649893,2.192776,2.558172
3.162005,9.170000,0.172373,3.710000,0.683289,2.161507,2.539031
3.173116,9.170000,0.172373,3.710000,0.706670,2.138930,2.525541
3.184227,9.170000,0.172373,3.710000,0.713478,2.130736,2.521401
3.195338,9.170000,0.172373,3.710000,0.720286,2.122543,2.517262
3.206449,9.170000,0.172373,3.710000,0.727094,2.114349,2.513122
3.217560,9.170000,0.172373,3.710000,0.733902,2.106156,2.508982
3.228671,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.239782,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.250893,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.262004,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.273115,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.284226,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.295337,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.306448,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.317559,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.328671,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.339782,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.350893,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.362004,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.373115,9.170000,0.172373,3.710000,0.736142,2.103460,2.507620
3.384226,9.170000,0.172373,3.710000,0.706274,2.118518,2.539769
3.395337,9.170000,0.172373,3.710000,0.672195,2.135700,2.576452
3.406448,9.170000,0.172373,3.710000,0.638115,2.152882,2.613135
3.417559,9.170000,0.172373,3.710000,0.604035,2.170064,2.649818
3.428670,9.170000,0.172373,3.710000,0.568356,2.187661,2.688289
3.439781,9.170000,0.172373,3.710000,0.524962,2.207261,2.735389
3.450892,9.170000,0.172373,3.710000,0.481568,2.226861,2.782489
3.462003,9.170000,0.172373,3.710000,0.438175,2.246461,2.829589
3.473114,9.170000,0.172373,3.710000,0.394781,2.266060,2.876689
3.484225,9.170000,0.172373,3.710000,0.351087,2.281687,2.924337
3.495336,9.170000,0.172373,3.710000,0.307224,2.295080,2.972292
3.506447,9.170000,0.172373,3.710000,0.263362,2.308474,3.020248
3.517558,9.170000,0.172373,3.710000,0.219499,2.321867,3.068204
3.528669,9.170000,0.172373,3.710000,0.175636,2.335260,3.116159
3.539780,9.170000,0.172373,3.710000,0.130444,2.339995,3.165045
3.550891,9.170000,0.172373,3.710000,0.085215,2.344489,3.213958
3.562002,9.170000,0.172373,3.710000,0.039985,2.348983,3.262870
3.573113,9.170000,0.172373,3.710000,-0.005244,2.353477,3.311782
3.584224,9.170000,0.172373,3.710000,-0.050474,2.355346,3.360474
3.595335,9.170000,0.172373,3.710000,-0.095708,2.351855,3.408716
3.606446,9.170000,0.172373,3.710000,-0.140941,2.348363,3.456958
3.617557,9.170000,0.172373,3.710000,-0.186175,2.344872,3.505201
3.628668,9.170000,0.172373,3.710000,-0.231408,2.341381,3.553443
3.639779,9.170000,0.172373,3.710000,-0.276842,2.333997,3.601229
3.650890,9.170000,0.172373,3.710000,-0.322337,2.325431,3.648877
3.662001,9.170000,0.172373,3.710000,-0.367832,2.316865,3.696524
3.673112,9.170000,0.172373,3.710000,-0.413328,2.308299,3.744172
3.684223,9.170000,0.172373,3.710000,-0.457187,2.300035,3.790101
3.695334,9.170000,0.172373,3.710000,-0.462222,2.298945,3.795244
3.706445,9.170000,0.172373,3.710000,-0.467256,2.297854,3.800387
3.717556,9.170000,0.172373,3.710000,-0.472290,2.296764,3.805529
3.728667,9.170000,0.172373,3.710000,-0.477325,2.295674,3.810672
3.739778,9.170000,0.172373,3.710000,-0.479995,2.295095,3.813399
3.750889,9.170000,0.172373,3.710000,-0.479995,2.295095,3.813399
3.762000,9.170000,0.172373,3.710000,-0.479995,2.295095,3.813399
3.773111,9.170000,0.172373,3.710000,-0.479995,2.295095,3.813399
3.784222,9.170000,0.172373,3.710000,-0.479995,2.295095,3.813399
3.795333,9.170000,0.172373,3.710000,-0.479995,2.295095,3.813399
3.806444,9.170000,0.172373,3.710000,-0.479995,2.295095,3.813399
3.817555,9.170000,0.172373,3.710000,-0.479995,2.295095,3.813399
