Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HMDIsValid,HMDCoordinateSystem,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW,HMDEulerX,HMDEulerY,HMDEulerZ,HMDVelocityValid,HMDVelocityX,HMDVelocityY,HMDVelocityZ,HMDAngularVelocityValid,HMDAngularVelocityX,HMDAngularVelocityY,HMDAngularVelocityZ,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
0.308654,True,-0.076826,1.019684,0.216449,0.010766,0.026961,-0.013105,-0.999493,True,-0.012042,1.021010,0.211314,-0.045834,-0.115929,-0.005496,-0.992184,True,4.000,True,0.517726,0.460569,True,4.000,True,0.548655,0.382036,,True,Device,-0.043275,1.021471,0.228795,-0.037067,0.039129,0.011670,0.998478,355.702500,4.444445,1.172411,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.317942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.319823,True,-0.076785,1.019623,0.216252,0.010681,0.026139,-0.012891,-0.999518,True,-0.012010,1.020926,0.210999,-0.046559,-0.116926,-0.005297,-0.992035,True,4.000,True,0.515033,0.460638,True,4.000,True,0.548655,0.382036,,True,Device,-0.043211,1.021378,0.228538,-0.036374,0.040047,0.011498,0.998469,355.781600,4.551200,1.151807,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.330968,True,-0.076773,1.019552,0.215949,0.009517,0.025499,-0.012224,-0.999555,True,-0.012004,1.020784,0.210619,-0.047864,-0.117610,-0.004768,-0.991894,True,4.000,True,0.515033,0.460638,True,4.000,True,0.548655,0.382036,,True,Device,-0.043182,1.021234,0.228197,-0.035130,0.040680,0.010928,0.998495,355.926100,4.627325,1.089424,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,4.990000,0.978000,4.450000,0.356956,2.534009,3.363993,-0.904000,2.537724,2.205690,,,
0.342030,True,-0.076799,1.019454,0.215613,0.008236,0.025154,-0.011627,-0.999582,True,-0.012032,1.020627,0.210247,-0.048079,-0.116649,-0.004446,-0.991999,True,4.000,True,0.515033,0.460638,True,4.000,True,0.546447,0.383467,,True,Device,-0.043198,1.021064,0.227845,-0.033729,0.040991,0.010428,0.998536,356.088600,4.666103,1.037291,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.353186,True,-0.076825,1.019363,0.215316,0.007363,0.027642,-0.011250,-0.999528,True,-0.012062,1.020489,0.209891,-0.049164,-0.117131,-0.004092,-0.991890,True,4.000,True,0.512931,0.460507,True,4.000,True,0.546447,0.383467,,True,Device,-0.043211,1.020917,0.227520,-0.032653,0.041459,0.010030,0.998556,356.213200,4.722133,0.994808,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.362314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.364303,True,-0.076922,1.019334,0.215149,0.006276,0.027910,-0.010570,-0.999535,True,-0.012155,1.020388,0.209750,-0.050361,-0.116972,-0.003588,-0.991851,True,4.000,True,0.512931,0.460507,True,4.000,True,0.546447,0.383467,,True,Device,-0.043310,1.020816,0.227368,-0.031483,0.041292,0.009422,0.998607,356.350300,4.705909,0.931119,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,4.990000,0.978000,4.450000,,,,,,,,,
0.375427,True,-0.077016,1.019221,0.214854,0.005453,0.028077,-0.010192,-0.999539,True,-0.012248,1.020239,0.209453,-0.050267,-0.113273,-0.003496,-0.992286,True,4.000,True,0.512931,0.460507,True,4.000,True,0.545436,0.384846,,True,Device,-0.043402,1.020656,0.227074,-0.030547,0.041321,0.009099,0.998637,356.459000,4.711040,0.898336,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.386460,True,-0.077147,1.019199,0.214671,0.006385,0.030452,-0.009895,-0.999467,True,-0.012376,1.020174,0.209306,-0.051236,-0.112990,-0.003211,-0.992269,True,4.000,True,0.511219,0.461110,True,4.000,True,0.545436,0.384846,,True,Device,-0.043539,1.020584,0.226911,-0.029603,0.041065,0.008723,0.998680,356.569100,4.683544,0.860534,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,0.563672,2.510581,3.285480,-0.884548,2.558105,2.426310,,,
